epoch,stage,stage_name,train_acc,train_loss,test_full_acc,test_100_acc,sparsity,flops_T,time_s,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
11,2,Stage 2 Medium,0.6536,0.9798349138259888,0.6378,0.64,0.9804632976009077,0.054623933976,193.45031833648682,1.0201931864023208,0.1258173889936285,0.54,0.6051329582771088,0.42617308074172505,0.87,1.3509384748783517,0.019905586952858784,0.75,1.4641346616947906,0.0016931457722440678,0.22,1.2861544805638334,0.028995714923168752,0.48,1.1571656549230536,0.0616395780380736,0.43,0.9779524683952332,0.15510886755395442,0.76,0.9831514457438855,0.1522179347403506,0.67,0.6987517399515243,0.3414648140205982,0.82,0.7357796953079548,0.3116385906300646,0.86
12,2,Stage 2 Medium,0.6910666666666667,0.8839152952194214,0.6879,0.695,0.9799356910707313,0.061331913688,213.2000744342804,0.9177993925962042,0.1825510269149821,0.56,0.510161421911672,0.5113155068195564,0.84,1.240937952792391,0.041378526484712644,0.62,1.3600341436710763,0.013029985224947017,0.28,1.1806499885751847,0.059250900720028164,0.6,1.0844937769656486,0.08619677322976133,0.7,0.8389961813675596,0.2350390832157845,0.75,0.8737620895530315,0.21125617290430881,0.81,0.6424575664895646,0.3910947417959254,0.87,0.635486616764931,0.39841327131428617,0.92
13,2,Stage 2 Medium,0.7160666666666666,0.8028438615957896,0.6963,0.702,0.9791703418616744,0.068308387768,232.40216255187988,0.8095688364924268,0.26143119826595834,0.57,0.41775863501144217,0.5902862505630609,0.77,1.164819704979024,0.07180767794872853,0.53,1.2815727017027267,0.021263465855983977,0.54,1.096267178464443,0.08791832492706624,0.68,1.001781885230795,0.12292777166721669,0.58,0.7491569089128616,0.30261166387415944,0.87,0.7834809168380625,0.26931462622386343,0.66,0.5417944142951611,0.4791436980854958,0.93,0.5617053991381792,0.4589973890321686,0.89
14,2,Stage 2 Medium,0.7370666666666666,0.756724494043986,0.7191,0.716,0.9786542903102614,0.075445342648,252.0419852733612,0.7578580771671964,0.29295302436072773,0.73,0.4079436489380896,0.6040033396749579,0.84,1.0994775803799326,0.0750864509572374,0.64,1.2430369019508363,0.03213635683059692,0.59,1.0206087709424343,0.12089621427845447,0.68,0.9383375450017605,0.15611016718631096,0.39,0.7183627649190578,0.3186626375355619,0.84,0.7409496173738165,0.30991410668543046,0.81,0.49060638333532086,0.5191619946383574,0.88,0.5271810506411055,0.48114899927948385,0.76
15,2,Stage 2 Medium,0.7535333333333334,0.6971471409797668,0.706,0.688,0.977982506648712,0.08280910284,271.1534335613251,0.696668970616574,0.32606147067978025,0.63,0.35734180042995733,0.6459539899582717,0.57,1.0095958716691809,0.12499516194171094,0.79,1.1640977634394423,0.04283720705103367,0.45,0.936650659048811,0.16737402918490957,0.72,0.8737488494274465,0.20160350786878709,0.37,0.620261294632516,0.40242299136329207,0.8,0.6981107073736952,0.34326793679848633,0.76,0.45680486087073036,0.5535325664511703,0.96,0.4798149246563937,0.5355939007106614,0.83
16,2,Stage 2 Medium,0.7720666666666667,0.6548291851043702,0.7093,0.728,0.9778610213295001,0.09016766012,290.72318601608276,0.6778100917313962,0.3514154981425468,0.71,0.32647627156928793,0.675377564267082,0.8,0.9636221330850683,0.14353992146380404,0.64,1.0996898270667868,0.06307924351793655,0.29,0.8981637789848003,0.20092804203642176,0.66,0.8568634017667872,0.21401373886681618,0.79,0.6129406823439801,0.40602547402711625,0.86,0.6628652620981348,0.37333918808305516,0.85,0.437131012678939,0.570763073651556,0.73,0.41705735882228995,0.5907510226235745,0.95
17,2,Stage 2 Medium,0.7756,0.6415621955871582,0.7571,0.767,0.977608514082475,0.097667374312,310.1260030269623,0.6630847817802049,0.3739869022860806,0.77,0.3234980122503289,0.679118903046672,0.92,0.9464770993019672,0.15801029446277212,0.71,1.1118726512219044,0.078134120271561,0.57,0.8380416116023317,0.21715411412272048,0.81,0.8253229907852538,0.22788080452604498,0.59,0.5774169966419961,0.43803304216646133,0.85,0.6179343095722984,0.4062400524682821,0.79,0.42430778120822726,0.5746978053347545,0.94,0.4395829420952879,0.5644153141416609,0.72
18,2,Stage 2 Medium,0.7955333333333333,0.5889544700622559,0.7693,0.777,0.9776459476133096,0.105138254856,329.65760493278503,0.5873135646607014,0.4288071836562867,0.76,0.30052954880817934,0.7039769666338775,0.95,0.8742595775330321,0.2094012462078257,0.74,1.0446866699989805,0.09670358363618242,0.46,0.7939283452769543,0.27199911506886176,0.72,0.748357425915434,0.285534323466585,0.65,0.5437722128796133,0.4708547669482675,0.82,0.5729257672549563,0.4452339007340847,0.86,0.38978236373910247,0.6144000135282887,0.95,0.40887198846073863,0.5968944459043919,0.86
19,2,Stage 2 Medium,0.8042,0.5625719678243001,0.7356,0.73,0.9768854036485362,0.112870400744,349.1490054130554,0.5735122310829923,0.43611406818666354,0.69,0.27655530739204087,0.7307401519900366,0.61,0.8080204449752544,0.2477391224275244,0.55,0.9792741364462578,0.131979909872121,0.69,0.7511532889560182,0.2968264884612662,0.79,0.7268332464501579,0.30029492394879775,0.37,0.503430361415636,0.5074510868836908,0.87,0.556073060314706,0.4547985585446053,0.89,0.3575859370938641,0.639055892579416,0.9,0.3935334664511871,0.6143014296770413,0.94
20,2,Stage 2 Medium,0.8166,0.5243922105471294,0.7568,0.752,0.9767863355669798,0.12063652252,368.713098526001,0.5390697042675728,0.4733509317674535,0.5,0.24451517261257594,0.7567113250984434,0.95,0.7985219535675455,0.2679715713287922,0.78,0.965222529908444,0.1403548446107418,0.48,0.688106361966818,0.35540794858590086,0.71,0.7172060727756074,0.31163657272749756,0.8,0.4693524612827187,0.5316761058893926,0.83,0.5091169146563302,0.5032592745755423,0.73,0.3187356078432516,0.6834766776449582,0.96,0.321910437715656,0.6763879242452219,0.78
21,3,Stage 3 Hard,0.79928,0.5838310559272766,0.7875,0.78,0.9756178201590079,0.127415948608,389.8640978336334,0.6189655174254155,0.4164164900323566,0.8,0.2895420413952539,0.7129347310882603,0.91,0.8655816180897611,0.21527447038311132,0.82,1.0082192008136486,0.10931047911242563,0.49,0.7151333650155943,0.3284313164803447,0.7,0.8157165983349693,0.23312082863887962,0.63,0.530666440839366,0.4875016637070447,0.83,0.5620839414139259,0.45696818698862834,0.87,0.40359279122773783,0.5986245222370692,0.92,0.3611457157043778,0.6423087505509659,0.83
22,3,Stage 3 Hard,0.8156,0.534286634349823,0.7864,0.78,0.9758324189170268,0.134159547896,406.49497961997986,0.5749948203411638,0.43976709345469667,0.77,0.28809125225679777,0.7178740815552931,0.84,0.7697437825204082,0.2770712631136863,0.69,0.9344767252249377,0.1504291035234928,0.57,0.6573938868597758,0.370831088010906,0.81,0.7599786729076687,0.2906705521959431,0.68,0.4865044365038297,0.5138642899929641,0.73,0.49998115866007853,0.5148596777675711,0.89,0.351783380387541,0.6505993840151599,0.94,0.33168666949495673,0.6695456504536679,0.88
23,3,Stage 3 Hard,0.8284,0.4948744930267334,0.7739,0.764,0.9753931446762985,0.141002536304,423.1451508998871,0.5438595858915728,0.4601506133924942,0.78,0.23163620579265515,0.7694897070926215,0.89,0.6887014962314647,0.34028333932997623,0.67,0.8925887966642574,0.17674350981809656,0.77,0.6220471743940927,0.39541418206573903,0.59,0.7181575191112197,0.3149551807769707,0.51,0.47068049025018605,0.5424849119189442,0.87,0.48009462604223163,0.5370963217823633,0.82,0.32023641437871797,0.6798487144346558,0.85,0.3025283472403428,0.6992306016404561,0.89
24,3,Stage 3 Hard,0.83504,0.4734584875869751,0.8029,0.813,0.9748874482498163,0.147976622536,440.46340250968933,0.5059569473853525,0.4984239550801564,0.83,0.21817134052683712,0.7818286594731628,0.91,0.6860059964451559,0.3437331535340268,0.75,0.8568323571615073,0.19681388010479967,0.65,0.6146408886439643,0.4045555207080075,0.77,0.7063564937941882,0.32782189152678665,0.8,0.4415981045601015,0.5720765371901952,0.82,0.4772993140777915,0.5329104409439072,0.82,0.2894178890582763,0.7108110402180927,0.9,0.27893789538315367,0.7252810369340741,0.88
25,3,Stage 3 Hard,0.83752,0.4577397088432312,0.8015,0.805,0.9743904272399401,0.155125562976,457.1765081882477,0.49126367643950697,0.5172778838551698,0.83,0.22648558843220412,0.7688694678244599,0.96,0.6565539186098137,0.36843882105788406,0.77,0.8124743214979464,0.22712026734133156,0.65,0.5718579123899037,0.4386939787667017,0.68,0.6658990151077813,0.3632890485721279,0.78,0.4047663262878944,0.5971583891921316,0.79,0.4310304796114108,0.5733271058819884,0.89,0.27841530189188957,0.7218963257880521,0.89,0.2777833018870074,0.7203561087157957,0.81
26,3,Stage 3 Hard,0.85552,0.42284335993766786,0.8008,0.802,0.9742652144954386,0.162308404368,473.8479220867157,0.43258862259170533,0.5713213362769053,0.77,0.18412357060285048,0.8158764293971495,0.94,0.6049410338627592,0.41944074481535626,0.75,0.8084333539769357,0.23466653171546606,0.61,0.5376626044530801,0.4712493792461345,0.71,0.6418245235952188,0.3785794624792678,0.8,0.39446942544808344,0.6160858175574745,0.76,0.3920153333729475,0.6115769388211169,0.86,0.2595360745504803,0.739109402598471,0.94,0.23748308547050218,0.7591456156081463,0.88
27,3,Stage 3 Hard,0.8608,0.4019244704437256,0.7828,0.781,0.9734927563138781,0.16967754052,490.8843822479248,0.41096713203385626,0.5909747112665934,0.73,0.18794475126731192,0.8120552487326881,0.87,0.5898685002775521,0.42165236655926824,0.74,0.7692518122494221,0.26187416812290953,0.75,0.5158683900075147,0.49454224483129017,0.71,0.5991218097660006,0.4170593806371397,0.77,0.38044115179693516,0.6239586495984422,0.69,0.3711949374707302,0.6313657705168411,0.88,0.2315496463205057,0.7633483128631677,0.89,0.23495933653463666,0.7706627554155658,0.78
28,3,Stage 3 Hard,0.86064,0.39446051136016846,0.7938,0.792,0.9736056344423673,0.177017058248,508.02848529815674,0.40308573297510036,0.5969468871872796,0.81,0.19018892585050448,0.8115477351506231,0.94,0.5660871603925314,0.45251615537444545,0.79,0.736768454503344,0.29874138302188746,0.45,0.48864326416128745,0.5232582336795939,0.69,0.5969330321959391,0.4241749601514668,0.8,0.3607298662382349,0.6418051922893417,0.79,0.37174328043106564,0.6297643180955581,0.93,0.2332586747147523,0.7693793222507728,0.85,0.2321371776859599,0.7684027290931542,0.87
29,3,Stage 3 Hard,0.87168,0.36991356890678406,0.8068,0.808,0.9737782834516777,0.184340298104,524.7481796741486,0.37743683951925866,0.6245962925521391,0.78,0.16390848955896736,0.8360915104410326,0.9,0.5154053491815849,0.4962668392512643,0.72,0.7302055647786783,0.3070297895037398,0.8,0.45280724160411223,0.558735456346173,0.79,0.5797908672188617,0.43286281386960523,0.7,0.342144769549902,0.6605838337742096,0.77,0.3493023613368028,0.6482056146891484,0.84,0.22768741839551082,0.7804740947773395,0.89,0.20478787050435168,0.7855770927984552,0.89
30,3,Stage 3 Hard,0.88072,0.3466566139793396,0.8068,0.8,0.9729572612011493,0.19186039628,541.5782551765442,0.3676725031655966,0.6362071795845214,0.78,0.1498532873439978,0.8450446718396757,0.93,0.47899158561972865,0.5266287686726154,0.73,0.6767408181057901,0.3500020410485414,0.71,0.42801639748908277,0.5808933175843665,0.72,0.5372853053125496,0.47078023039336714,0.61,0.31239014190303316,0.6943340192499038,0.88,0.3590013796359073,0.6513211455490744,0.88,0.1963451296395185,0.8036548703604814,0.94,0.20201434929542153,0.7928836098882519,0.82
31,4,Stage 4 Harder,0.8201818181818182,0.5183548896529457,0.7896,0.792,0.9715205178644069,0.19886027924,560.9889297485352,0.5309516788611925,0.4870119454165877,0.82,0.2540853162053133,0.7478093643612526,0.93,0.7329083860007136,0.2995192610853633,0.74,0.8589520547972169,0.20450174981771513,0.64,0.6086423120483063,0.41251488751190346,0.58,0.7684774037753773,0.2808404683330378,0.92,0.4690334217319655,0.5345769819998464,0.7,0.4706265161160466,0.5465145723807604,0.84,0.31928352349394457,0.6859717002127667,0.89,0.36862791402720263,0.6381106946324973,0.86
32,4,Stage 4 Harder,0.8445454545454546,0.4415105327909643,0.8197,0.827,0.9726677582908766,0.20557861476,575.9800071716309,0.4248721568282087,0.570996192662955,0.77,0.20895906275701384,0.792287603735404,0.97,0.6694149049648712,0.3693256855963968,0.82,0.7989773772830187,0.24138405277978542,0.64,0.5275709971319884,0.4811178436232081,0.79,0.7012248806449649,0.3257023028888588,0.74,0.41000262717039565,0.5932413244330281,0.85,0.3945261098032947,0.6104982775895921,0.88,0.26473476802036816,0.732122387873756,0.91,0.2853895781215194,0.7259207261986164,0.9
33,4,Stage 4 Harder,0.857,0.4127419120615179,0.8115,0.803,0.9728939605619599,0.212242199384,591.1661462783813,0.3964508908129362,0.6066750824061591,0.81,0.19129316953517128,0.810622861969615,0.82,0.623561886788974,0.4041135561284284,0.76,0.7668900756641875,0.2723091463016909,0.69,0.5074520843580018,0.49696801589845224,0.83,0.64302026437119,0.3735869959170042,0.77,0.3725008423153181,0.6282367111037507,0.83,0.36829321663610115,0.6336833094246686,0.76,0.23374130536645088,0.760444741145177,0.85,0.29038082703753093,0.7096191729624691,0.91
34,4,Stage 4 Harder,0.8644545454545455,0.39088932596553455,0.811,0.812,0.9723537792801297,0.219036915544,606.6677594184875,0.38353248016345637,0.6195554153907091,0.81,0.17704439617684625,0.8229556038231537,0.94,0.5658435081023463,0.4610097836919649,0.72,0.7269328015228343,0.300913245135615,0.45,0.4534969673259184,0.5530907133632058,0.82,0.6172952279989976,0.3972823472022144,0.79,0.3658155931138195,0.6321950914706428,0.88,0.3589387658420344,0.6392709809290462,0.92,0.22909131862742957,0.7726230267002139,0.91,0.24940238222087258,0.7522962475797909,0.88
35,4,Stage 4 Harder,0.8718181818181818,0.369844056671316,0.8126,0.81,0.9717540180403543,0.225979823816,622.5594222545624,0.38637718489003736,0.6260206928086836,0.81,0.16370045223008017,0.8362995477699198,0.93,0.5417211470085868,0.47377996543032486,0.74,0.701179236606803,0.3253127048008664,0.67,0.4445023276994741,0.5602125916846616,0.79,0.5984876994260175,0.4238067248749525,0.64,0.3382960323536725,0.6620065887447794,0.89,0.36035270890665,0.6500318451800795,0.89,0.2099970655243703,0.7900029344756297,0.89,0.22993721216808743,0.7715877137569234,0.85
36,4,Stage 4 Harder,0.8812727272727273,0.3457130411754955,0.8185,0.811,0.9715619612852191,0.232968790616,637.7006359100342,0.36746578540133185,0.6434158416205021,0.78,0.15060581347220145,0.8493941865277985,0.94,0.5320644319317368,0.47731970532169177,0.66,0.6301030535684076,0.39093661394923235,0.65,0.405248822092057,0.601776271441215,0.73,0.549192322136531,0.4558295757228205,0.78,0.33224874347188443,0.6631289232565567,0.88,0.3243672161655457,0.6782645409829308,0.87,0.21744690817506,0.7857587945733495,0.94,0.2219010862923866,0.7780989137076134,0.88
37,4,Stage 4 Harder,0.8828181818181818,0.33154523223096677,0.811,0.815,0.9711754324837488,0.24005478412,652.8610773086548,0.32352075815677295,0.6798211723934252,0.83,0.1550646807568968,0.8449353192431032,0.98,0.4874167702983805,0.5114049934998675,0.82,0.6386066287062889,0.37703687714975936,0.61,0.3832575062311493,0.614814747179057,0.73,0.5491791646927595,0.46334880083626095,0.73,0.28727791227703525,0.7069081342345926,0.89,0.2966652463276892,0.7033347536723108,0.89,0.18702848869522082,0.8180125152250903,0.9,0.21227932186813506,0.7877453114840115,0.77
38,4,Stage 4 Harder,0.8938181818181818,0.3015819670178673,0.8038,0.799,0.9707217937600389,0.247251878872,667.9468042850494,0.29469916376090327,0.7053008362390968,0.81,0.15139428382132983,0.8563099020637225,0.97,0.4353574367245486,0.5642910143874889,0.77,0.5805806737977924,0.4304359438829124,0.72,0.33972523658608117,0.6609530899153215,0.72,0.5169447437578509,0.490439162113119,0.76,0.2999616245235598,0.7073068839828159,0.69,0.28663237665260083,0.7133676233473992,0.88,0.18556550335271696,0.8144344966472831,0.85,0.19461406389932245,0.8055921307454281,0.82
39,4,Stage 4 Harder,0.8992727272727272,0.29509628496386786,0.8235,0.825,0.9705172968503779,0.254500193704,683.6270370483398,0.28175304778093513,0.7192333058215851,0.8,0.12664039741274644,0.8733596025872535,0.9,0.4205146171572228,0.5848879887367772,0.76,0.5948465489132633,0.4134773228988918,0.66,0.33874106694413564,0.6616284167042089,0.75,0.46920963595512993,0.5304023066189053,0.76,0.28620719756974383,0.7151636288631275,0.88,0.27405541128922944,0.7259445887107705,0.93,0.17132559560390248,0.8312964161851533,0.9,0.2037113043371328,0.7968683785563985,0.91
40,4,Stage 4 Harder,0.9072727272727272,0.2667944854931398,0.8241,0.816,0.9710184036947722,0.261624109544,699.278538942337,0.25147943164839215,0.7485205683516079,0.84,0.11819369896371892,0.8818063010362811,0.99,0.3783662503661025,0.6275970737482313,0.81,0.540984804243889,0.4717079230779132,0.57,0.2988631342135662,0.7021560767959251,0.73,0.4473413218159315,0.5465888239356668,0.7,0.24334841033682053,0.7566515896631795,0.88,0.2520461658687266,0.7524305283048645,0.89,0.13575292667485692,0.8642470733251431,0.86,0.179256928567558,0.8209687602614204,0.89
41,5,Stage 5 Hardest,0.8356363636363636,0.4845947833061218,0.8134,0.802,0.9663204198441689,0.269904770872,717.8559420108795,0.4514425597911657,0.5650299115236416,0.67,0.2530933399989302,0.7479891080732815,0.93,0.6504484556377107,0.37957809110670243,0.75,0.7164199057706567,0.31503077336522034,0.57,0.5522501805017508,0.4570498552909771,0.82,0.7771961776496366,0.28648894566089605,0.85,0.417628706172975,0.5895280547136831,0.87,0.45272138050952276,0.5600677261367267,0.77,0.3232036197130287,0.6851987673570726,0.9,0.3240783508043996,0.692953867036416,0.89
42,5,Stage 5 Hardest,0.8644545454545455,0.39691121398318896,0.8182,0.825,0.9709086640389376,0.277056512808,732.9655165672302,0.37209027805798794,0.6256326678761303,0.77,0.18934764937216111,0.8048383971394668,0.99,0.5638792067630823,0.44987706286930157,0.76,0.6991224608622318,0.3325007335217886,0.61,0.46604297562437347,0.5371440265132764,0.76,0.7028500785845396,0.3197064169433488,0.88,0.37219992477912456,0.6304102721217977,0.86,0.39931711594595815,0.6051601292240585,0.87,0.2775861179025649,0.7270850766230873,0.91,0.2638754845031017,0.737499488611045,0.84
43,5,Stage 5 Hardest,0.8724545454545455,0.3628176227049394,0.8167,0.814,0.9699715601906609,0.28443738636,748.9992492198944,0.354757483788701,0.6488615702404532,0.71,0.19387953876122443,0.8061204612387756,0.95,0.507970132908329,0.49914487839005023,0.77,0.6166911680511263,0.40236487282916555,0.65,0.4233153437069336,0.5829947955776439,0.81,0.654081364248901,0.37229947271475267,0.76,0.33020135962545094,0.6713082784012523,0.8,0.33871934147075167,0.6676964671459309,0.93,0.24122991099098134,0.7604871262487587,0.89,0.24952022739155436,0.7533982073059738,0.87
44,5,Stage 5 Hardest,0.8854545454545455,0.32973526039990514,0.8053,0.803,0.9699059274359613,0.291833941208,764.2813956737518,0.30554667810454617,0.6902649970725179,0.75,0.14712062858005845,0.8528793714199415,0.88,0.4491892595082348,0.5559060594911666,0.71,0.5940415937626777,0.41702934662096725,0.64,0.3853866116923475,0.6196282036104348,0.83,0.5974487494677305,0.41306097437302736,0.79,0.2832530494589835,0.718664955929853,0.89,0.3146508562887564,0.6896066078428872,0.78,0.2369550953749134,0.7676177237637688,0.85,0.22354048016673322,0.7707806436384238,0.91
45,5,Stage 5 Hardest,0.8889090909090909,0.3208120116428895,0.8058,0.81,0.9687344633349705,0.299520566328,779.3676586151123,0.2955119285656702,0.7057375906327696,0.77,0.15354732200936522,0.8481284154492409,0.88,0.43924381924985345,0.5707211909107701,0.77,0.5533629762398642,0.4552785093181355,0.75,0.3588572638975673,0.6512403402607455,0.74,0.5638395376979958,0.4433266809210181,0.69,0.2989080190756033,0.6971969490730052,0.84,0.3286937675655408,0.6752725008463617,0.93,0.21477946280813126,0.7852205371918687,0.82,0.21486035363510425,0.7851396463648957,0.91
46,5,Stage 5 Hardest,0.899,0.28569454005631534,0.8176,0.822,0.9686405744829126,0.307229223816,794.4839448928833,0.2785702145571799,0.7242847640652122,0.71,0.13492944362765547,0.8592566028839724,0.96,0.39322675119707806,0.6097012888582635,0.78,0.5243358394174382,0.4858650505802659,0.62,0.3309683495182219,0.6726125540728898,0.88,0.5187819054415233,0.4907752564718384,0.79,0.2537878680795561,0.7462121319204439,0.82,0.28108173490740185,0.720402110941968,0.87,0.1959524033198588,0.7982336431917691,0.93,0.17283590765247597,0.827164092347524,0.86
47,5,Stage 5 Hardest,0.9042727272727272,0.26790663023428485,0.8107,0.816,0.9684739891119715,0.31497808508,809.4898161888123,0.24905135855078697,0.7475383651637754,0.7,0.12541397536052648,0.8757978355831657,0.94,0.3677977640873842,0.6341546581322692,0.7,0.4844417879357934,0.5220513209743902,0.59,0.29849033767552396,0.7043776735717561,0.9,0.4952187150781758,0.5136492709022795,0.88,0.2211436369012348,0.773042409610393,0.82,0.2736796549694656,0.7279304355967703,0.84,0.16460491959980234,0.8353950804001976,0.91,0.16765962274431057,0.8323403772556894,0.88
48,5,Stage 5 Hardest,0.9137272727272727,0.250518065886064,0.8146,0.816,0.9688750528465924,0.322627981768,825.217681646347,0.2549372531451978,0.7466087617348273,0.74,0.1168198714079809,0.8831801285920191,0.95,0.36408527665446666,0.6412841405416297,0.73,0.4676975206726469,0.5351276327558079,0.66,0.2762340739705102,0.7183127892582656,0.9,0.4810864997941048,0.5248053029049621,0.73,0.22676778973085632,0.7732322102691437,0.87,0.2534033880246868,0.7469007821014519,0.87,0.14448683477327673,0.8555131652267233,0.88,0.1473369677984264,0.8527886552281331,0.83
